"city","PD_test_1","PD_test_2","age","education","gender","hukou","industry","firm_size","attention_check","similar_situations","population","treatment","cooperation","own_company","income","employment_status","treatment_agree"
"Shanghai","16.5","6.6",30,"college degree","male","urban","建筑","more than 500","5","yes","managers","R",0,"no","60-100k","employed",3
"Shanghai","16.5","6.6",30,"college degree","female","urban",NA,NA,"5","no","managers","R",0,"no","60-100k","unemployed",3
"Shanghai","16.5","6.6",42,"some college","female","urban","服务业","101-300","5","idk","managers","N",0,"no","100-150k","employed",2
"Shanghai","165","66",38,"college degree","male","urban","国际贸易","301-500","5","no","managers","N",1,"no","more than 150k","employed",3
"Shanghai","16.5","6.6",37,"advanced degree","male","urban","银行","more than 500","5","no","managers","N",1,"no","more than 150k","employed",3
"Shanghai","5","4",44,"some college","male","urban","贸易","more than 500","5","no","managers","R",1,"no","100-150k","employed",5
"Shanghai","16.5","26.3",35,"high school","female","urban","一加投资","10-100","5","no","managers","N",0,"yes","less than 30k","employed",3
"Shanghai","16.5","6.6",36,"college degree","female","urban","教育","10-100","5","no","managers","N",0,"no","more than 150k","employed",4
"Shanghai","16.5","6.6",23,"college degree","female","rural","建筑业","more than 500","5","no","managers","R",0,"no","more than 150k","employed",2
"Shanghai","16.5","3.3",39,"college degree","female","urban","付费通","101-300","5","no","managers","R",1,"no","more than 150k","employed",3
"Shanghai","16.5","6.6",38,"some college","female","urban","出租车行业管理","more than 500","5","no","managers","N",1,"no","60-100k","employed",5
"Shanghai","16.5","6.6",29,"advanced degree","male","rural","it","10-100","5","no","managers","N",0,"yes","more than 150k","employed",3
"Shanghai","16.5","6.6",24,"college degree","female","urban","制造业","101-300","5","yes","managers","N",1,"no","100-150k","employed",2
"Shanghai","16.5","6.6",35,"college degree","female","urban","金融","101-300","5","yes","managers","N",1,"yes","more than 150k","employed",2
"Shanghai","16.5","6.6",24,"some college","female","urban","采购","10-100","5","yes","managers","R",0,"yes","more than 150k","self employed",4
"Shanghai","16.5","3.3",35,"advanced degree","female","urban","天然气公司","301-500","5","yes","managers","N",1,"yes","60-100k","employed",5
"Shanghai","16.5","6.6",30,"college degree","male","rural","汽车","more than 500","5","no","managers","R",0,"no","100-150k","employed",3
"Shanghai","16.5","6.6",24,"college degree","female","rural","制造业","more than 500","5","no","managers","R",0,"no","30-60k","employed",3
"Shanghai","525","253",22,"some college","male","urban",NA,NA,"5","yes","managers","N",1,"yes","60-100k","unemployed",5
"Shanghai","16.5","6.6",41,"college degree","male","rural","汽配","101-300","5","no","managers","R",0,"no","30-60k","employed",3
"Shanghai","16.5","6.6",28,"college degree","male","urban","互联网","more than 500","5","no","managers","R",0,"no","more than 150k","employed",2
"Shanghai","16.5","6.6",40,"some college","female","urban","教育","301-500","5","idk","managers","N",1,"prefer not to answer","60-100k","employed",3
"Shanghai","6.6","6",25,"less than high school","male","rural","农家乐","less than 10","5","yes","managers","R",0,"yes","60-100k","self employed",3
"Shanghai","100","100",28,"some college","female","rural",NA,NA,"5","yes","managers","R",1,"no","30-60k","unemployed",4
"Shanghai","165","16",24,"college degree","female","urban","建筑","10-100","5","yes","managers","N",0,"yes","60-100k","employed",4
"Shanghai","26","6.6",30,"college degree","female","urban","通信","more than 500","5","yes","managers","R",1,"yes","more than 150k","self employed",5
"Shanghai","165","66",40,"college degree","male","urban","汽车服务","101-300","5","no","managers","R",1,"prefer not to answer","more than 150k","employed",4
"Shanghai","16.5","6.6",40,"college degree","female","urban","化工","more than 500","5","yes","managers","N",1,"prefer not to answer","more than 150k","employed",3
"Shanghai","16.3","26.3",28,"advanced degree","male","urban","建筑业","301-500","5","yes","managers","R",1,"yes","more than 150k","employed",3
"Shanghai","16.5","6.6",40,"some college","female","urban","物业管理","10-100","5","no","managers","R",0,"no","more than 150k","employed",1
"Shanghai","16.5","6.6",24,"college degree","female","urban","餐饮服务业","10-100","5","no","managers","N",1,"no","30-60k","employed",3
"Shanghai","165","66",25,"college degree","male","urban","旅游","10-100","5","yes","managers","R",0,"yes","100-150k","self employed",2
"Shanghai","16.5","6.6",42,"advanced degree","female","urban","教育","more than 500","5","no","managers","N",1,"no","more than 150k","employed",3
"Shanghai","16.5","6.6",33,"some college","female","urban","社工","more than 500","5","yes","managers","R",0,"yes","more than 150k","employed",4
"Shanghai","16.5","6.6",38,"college degree","female","urban","互联网","more than 500","5","no","managers","R",1,"no","more than 150k","employed",4
"Shanghai","26.3","26.3",45,"some college","female","urban","酒店业","101-300","5","no","managers","N",1,"no","60-100k","employed",4
"Shanghai","16.5","6.6",33,"college degree","female","urban","电子信息","more than 500","5","yes","managers","R",1,"yes","100-150k","employed",4
"Shanghai","16.5","6.6",53,"college degree","female","urban","服务","101-300","5","no","managers","N",1,"no","more than 150k","employed",4
"Shanghai","16.5","6.6",27,"advanced degree","female","rural","咨询","301-500","5","yes","managers","N",1,"yes","60-100k","employed",3
"Shanghai","16.5","6.6",40,"college degree","female","urban","贸易","10-100","5","no","managers","R",0,"prefer not to answer","more than 150k","employed",4
"Shanghai","16.5","6.6",23,"college degree","male","urban","建筑","10-100","5","no","managers","N",1,"no","60-100k","employed",3
"Shanghai","16.5","6.6",26,"college degree","male","rural","制造业","more than 500","5","no","managers","R",0,"no","100-150k","employed",4
"Shanghai","16.5","6.6",25,"some college","male","rural","IT信息技术","101-300","5","no","managers","N",1,"yes","more than 150k","employed",5
"Shanghai","16.5","6.6",23,"college degree","male","rural","教育","more than 500","5","no","managers","R",0,"no","100-150k","employed",3
"Shanghai","16.5","6.6",45,"college degree","female","urban","房产","10-100","5","idk","managers","R",1,"yes","60-100k","self employed",3
"Shanghai","16.5","6.6",26,"college degree","female","urban","金融业","101-300","5","no","managers","N",0,"no","60-100k","employed",5
"Shanghai","19.9","29.9",48,"college degree","male","urban","乘用车制造","more than 500","5","yes","managers","R",0,"yes","more than 150k","employed",4
"Shanghai","16.5","6.6",27,"college degree","female","rural","教育","more than 500","5","yes","managers","N",0,"no","100-150k","employed",3
"Shanghai","16.5","6.6",36,"college degree","female","urban","进出口","101-300","5","idk","managers","N",0,"no","60-100k","employed",2
"Shanghai","16.5","6.6",33,"college degree","male","urban","贸易","301-500","5","yes","managers","R",0,"yes","more than 150k","employed",3
"Shanghai","16.5","6.6",29,"college degree","male","urban","高科文化","101-300","5","yes","managers","N",0,"yes","60-100k","employed",3
"Shanghai","16.5","6.6",27,"advanced degree","female","urban","金融","more than 500","5","yes","managers","N",0,"no","more than 150k","employed",5
"Shanghai","16.5","6.6",30,"college degree","male","rural","化工","10-100","5","yes","managers","N",1,"no","60-100k","employed",2
"Shanghai","16.5","6.6",35,"college degree","male","urban","上海百联集团","more than 500","5","no","managers","R",0,"yes","more than 150k","employed",4
"Shanghai","16.5","6.6",35,"college degree","male","rural","软件信息","more than 500","5","no","managers","R",0,"yes","more than 150k","employed",4
"Shanghai","6.6","6.6",31,"some college","female","rural","制作业","10-100","5","no","managers","N",0,"yes","more than 150k","self employed",4
"Shanghai","16.5","6.6",40,"college degree","male","urban","国际物流","more than 500","5","no","managers","R",0,"no","more than 150k","employed",3
"Shanghai","16.5","6.6",32,"college degree","female","urban","It","10-100","5","no","managers","N",1,"yes","30-60k","employed",3
"Shanghai","16.5","6.6",32,"college degree","female","urban","科研","more than 500","5","no","managers","R",0,"no","60-100k","employed",3
"Shanghai","16.5","6.6",29,"college degree","male","urban","科研技术","more than 500","5","no","managers","N",0,"no","100-150k","employed",4
"Hangzhou","16.5","6.6",24,"college degree","female","rural","教育","10-100","5","yes","managers","N",1,"yes","more than 150k","employed",4
"Hangzhou","16","3.3",19,"some college","female","rural",NA,NA,"5","yes","managers","R",1,"yes","less than 30k","unemployed",1
"Hangzhou","16","6",30,"college degree","male","rural","机械","10-100","5","no","managers","N",0,"yes","more than 150k","employed",4
"Hangzhou","16.5","6.6",38,"some college","female","rural","批发零售","10-100","5","yes","managers","N",0,"yes","100-150k","self employed",1
"Hangzhou","35","12",37,"college degree","male","urban","宏达","10-100","5","yes","managers","R",1,"yes","60-100k","self employed",4
"Hangzhou","16.5","6.6",26,"college degree","female","rural","外贸进出口","10-100","5","yes","managers","N",0,"no","more than 150k","employed",3
"Hangzhou","165","66",38,"some college","female","rural","制造业","10-100","5","yes","managers","R",0,"yes","100-150k","employed",2
"Hangzhou","16.5","6.6",20,"high school","male","urban","传媒体","101-300","5","no","managers","N",1,"yes","30-60k","employed",5
"Hangzhou","70","40",25,"some college","male","rural","领导","101-300","3","yes","managers","R",1,"yes","more than 150k","self employed",2
"Hangzhou","16.5","6.6",26,"some college","female","rural","互联网","less than 10","7","no","managers","R",1,"no","less than 30k","employed",4
"Hangzhou","26.3","6.6",25,"college degree","male","rural","外贸","10-100","5","no","managers","N",0,"no","60-100k","employed",5
"Hangzhou","16.5","6.6",22,"college degree","female","urban","销售","10-100","5","no","managers","R",0,"no","less than 30k","employed",4
"Hangzhou","5000","3000",35,"high school","male","urban","商业","10-100","5","yes","managers","N",1,"yes","60-100k","self employed",3
"Hangzhou","16.5","6.6",32,"college degree","female","urban","制造业","10-100","5","no","managers","N",0,"no","100-150k","employed",1
"Hangzhou","16.5","6.6",26,"college degree","female","rural","制造业","10-100","5","no","managers","N",0,"no","60-100k","employed",3
"Hangzhou","16.5","6.6",22,"college degree","female","urban",NA,NA,"5","yes","managers","R",0,"no","100-150k","unemployed",4
"Hangzhou","16.5","6.6",37,"some college","male","urban","杭州东岱饰品有限公司","more than 500","5","no","managers","R",1,"no","100-150k","employed",2
"Hangzhou","16.5","6.6",30,"college degree","female","rural","零售","more than 500","5","no","managers","N",1,"no","more than 150k","employed",2
"Hangzhou","16.5","6.6",33,"college degree","male","urban","制造业","301-500","5","no","managers","N",0,"no","100-150k","employed",5
"Hangzhou","16.5","6.6",30,"college degree","female","rural","拘留所","10-100","5","yes","managers","N",1,"no","less than 30k","employed",3
"Hangzhou","16.5","6.6",26,"college degree","female","urban","服装","101-300","5","yes","managers","N",0,"yes","60-100k","employed",5
"Hangzhou","13.6","3.6",33,"college degree","male","rural","红树林","101-300","5","no","managers","R",1,"yes","100-150k","employed",3
